"individual","trait","trait_id","population"
263,-2.1664594659857,1,6
264,-1.37841641791819,1,6
265,-0.98255292183819,1,6
266,-0.792533487318562,1,6
267,-1.72304491620541,1,6
268,-1.47914063042021,1,6
269,-0.431393480941695,1,6
270,-0.612027925573373,1,6
271,-1.29380413314005,1,6
272,-1.59381296568064,1,6
273,-1.44409363134073,1,6
274,-1.41590426724739,1,6
275,-0.0494106353175735,1,6
276,-0.84501971083102,1,6
277,-0.541009779537865,1,6
278,-1.07420948342078,1,6
279,-0.828475103302257,1,6
280,-0.672204625849229,1,6
281,-0.996627006570566,1,6
282,-0.980433069367928,1,6
283,-1.10101933261442,1,6
284,-0.392477537543795,1,6
285,-1.15309665427562,1,6
286,-1.18155914861312,1,6
287,-1.39885739591492,1,6
288,-1.19891809304908,1,6
289,-0.990438360217548,1,6
290,-1.27571806673124,1,6
291,-1.32820518263073,1,6
292,-0.784233027057951,1,6
293,-0.976903270351397,1,6
294,-0.78063343572347,1,6
295,-1.45736976217919,1,6
296,-0.744354807242332,1,6
297,-1.2510214579503,1,6
298,-1.73619114661806,1,6
299,-0.352726191170712,1,6
300,-0.317371040067948,1,6
301,-0.715036705640941,1,7
302,-1.03535515808149,1,7
303,-0.647422847912988,1,7
304,-1.3188285810793,1,7
305,-0.980457730301669,1,7
306,-0.461653917339789,1,7
307,-0.691990571051093,1,7
308,-0.224916577795637,1,7
309,-0.676101670654123,1,7
310,-0.388762223192229,1,7
311,-0.226550900705382,1,7
312,-0.470459757402411,1,7
313,-0.186263284751281,1,7
314,-0.174933646075338,1,7
315,-0.911792334516098,1,7
316,-0.488639501145367,1,7
317,-0.918068238195852,1,7
318,-1.03002013800824,1,7
319,-1.02824976423058,1,7
320,0.144460660984274,1,7
321,-0.703442340759635,1,7
322,-0.530356831717129,1,7
323,-0.156598854768883,1,7
324,-0.233819166166799,1,7
325,-0.52741538193701,1,7
326,-0.773043410462631,1,7
327,0.26953582740848,1,7
328,-0.321148390870185,1,7
329,-0.117408761921135,1,7
330,-0.174890000388376,1,7
331,-0.774784735024349,1,7
332,-1.02576444716864,1,7
333,-0.0449583776061348,1,7
334,-0.632814873009604,1,7
335,0.387036476435983,1,7
336,-0.287358496881932,1,7
337,-0.499204774370357,1,7
338,-0.418578836552633,1,7
339,-0.0294946616640682,1,7
340,-1.12419896869903,1,7
341,-0.326609477475294,1,7
342,-0.546956347619922,1,7
343,-0.305461142405547,1,7
344,-0.226712296219212,1,7
345,-0.425721032118275,1,7
346,0.453033283931653,1,7
347,0.0106053990785595,1,7
348,-1.30638743377573,1,7
349,-0.319940823789778,1,7
350,-0.500648234502268,1,7
351,-0.15134946541179,1,8
352,-1.00894084875939,1,8
353,0.866492367574608,1,8
354,0.119001914197729,1,8
355,-0.199243568947732,1,8
356,-0.996546925873069,1,8
357,-0.640285205298768,1,8
358,-0.165085196067173,1,8
359,-0.887593586816792,1,8
360,-0.197491121560607,1,8
361,-1.04992858655349,1,8
362,-0.0842570463023496,1,8
363,-0.892658971623955,1,8
364,-0.710215205258563,1,8
365,-0.304933283455289,1,8
366,-1.13776061380272,1,8
367,0.113446912392894,1,8
368,-0.266251976051215,1,8
369,-0.234895286941699,1,8
370,-1.53687725360445,1,8
371,-0.352409561436642,1,8
372,-0.278406193613367,1,8
373,-0.0355527543083945,1,8
374,-0.495504875252471,1,8
375,-0.253115183317203,1,8
376,-0.92942975474375,1,8
377,-0.728887492391661,1,8
378,-0.51173078411485,1,8
379,-0.129493457443326,1,8
380,-0.363271481463323,1,8
381,-0.889356087611695,1,8
382,-0.947367028125497,1,8
383,-0.336244399200578,1,8
384,-0.114993402161517,1,8
385,-0.992040048086328,1,8
386,-0.709141717239727,1,8
387,-0.67316915212425,1,8
388,-1.14500954210807,1,8
389,-0.919040586781533,1,8
390,-0.231403672523178,1,8
391,-0.353228205673133,1,8
392,-1.06582630514089,1,8
393,0.069302087120534,1,8
394,-0.39019001897635,1,8
395,-0.730555971096884,1,8
396,0.0416736604014391,1,8
397,0.0726649352767777,1,8
398,-0.0782141219253329,1,8
399,-0.296375421433216,1,8
400,-0.546021175480693,1,8
401,0.277523239557821,1,9
402,0.454091293368634,1,9
403,-0.0245754195505721,1,9
404,0.0473879360961316,1,9
405,0.390004816796549,1,9
406,-0.0122550905342588,1,9
407,-0.174402092708171,1,9
408,0.0737062347125587,1,9
409,0.0389100084709899,1,9
410,-0.220984711068389,1,9
411,-0.578113066380129,1,9
412,0.0403307460080871,1,9
413,-0.300561260372475,1,9
414,-0.133489883893692,1,9
415,-0.807992789273921,1,9
416,-0.00362140361129161,1,9
417,0.0186903166181272,1,9
418,-0.231484746994819,1,9
419,-0.0164209083591755,1,9
420,0.360027562841202,1,9
421,-0.478350167681298,1,9
422,-0.487812415194143,1,9
423,-0.716102273939772,1,9
424,-0.70814725523893,1,9
425,-1.17441456174885,1,9
426,-0.118416338984855,1,9
427,-0.199959592316163,1,9
428,-0.70268059393511,1,9
429,-0.593383805094862,1,9
430,-0.441848108239506,1,9
431,-0.201668014413402,1,9
432,0.371794724046865,1,9
433,0.0752756092069213,1,9
434,0.240405018586463,1,9
435,0.27628737971815,1,9
436,-0.648671887186439,1,9
437,-0.736699725781379,1,9
438,0.154286541394818,1,9
439,-0.0601497605091685,1,9
440,0.307388377083541,1,9
